id,source,target,group,description,from,to,family
1,11,4,4,No description,Access,Store,"Access, use & share"
2,11,12,4,No description,Access,Use,"Access, use & share"
3,12,7,4,No description,Use,Analyse,"Access, use & share"
4,11,5,4,No description,Access,Maintain,"Access, use & share"
5,11,2,4,No description,Access,Store,"Access, use & share"
6,11,14,4,No description,Access,Protect,"Access, use & share"
7,11,13,4,No description,Access,Share,"Access, use & share"
8,1,2,1,No description,Acquire,Store,"Create, Capture & Collect"
9,8,4,3,No description,Curate,Contextualise,"Provision, integrate & Curate"
10,1,14,1,No description,Acquire,Protect,"Create, Capture & Collect"
11,1,4,1,No description,Acquire,Contextualise,"Create, Capture & Collect"
12,14,4,4,No description,Protect,Store,"Access, use & share"
13,7,11,3,No description,Analyse,Access,"Provision, integrate & Curate"
14,7,4,3,No description,Analyse,Contextualise,"Provision, integrate & Curate"
15,7,12,3,No description,Analyse,use,"Provision, integrate & Curate"
16,3,4,2,No description,Clean,Contextualise,"Organize, store & maintain"
17,3,5,2,No description,Clean,Maintain,"Organize, store & maintain"
18,3,7,2,No description,Clean,Analyse,"Organize, store & maintain"
19,4,11,2,No description,Contextualise,Access,"Organize, store & maintain"
20,4,12,2,No description,Contextualise,Use,"Organize, store & maintain"
21,14,11,4,No description,Protect,Access,"Organize, store & maintain"
22,4,1,2,No description,Contextualise,Acquire,"Organize, store & maintain"
23,4,7,2,No description,Contextualise,Analyse,"Organize, store & maintain"
24,4,3,2,No description,Contextualise,Clean,"Organize, store & maintain"
25,4,10,2,No description,Contextualise,Discover,"Organize, store & maintain"
26,4,6,2,No description,Contextualise,Engineer,"Organize, store & maintain"
27,4,5,2,No description,Contextualise,Maintain,"Organize, store & maintain"
28,4,2,2,No description,Contextualise,Store,"Organize, store & maintain"
29,2,4,2,No description,Store,Contextualise,"Organize, store & maintain"
30,8,5,3,No description,Curate,Maintain,"Provision, integrate & Curate"
31,8,13,3,No description,Curate,Share,"Provision, integrate & Curate"
32,8,2,3,No description,Curate,Store,"Provision, integrate & Curate"
33,10,11,4,No description,Discover,Access,"Access, use & share"
34,10,7,4,No description,Discover,Analyse,"Access, use & share"
35,10,0,4,No description,Discover,Specify needs,"Access, use & share"
36,10,4,4,No description,Discover,Contextualise,"Access, use & share"
37,4,16,2,No description,Contextualise,Dispose,"Organize, store & maintain"
38,10,3,4,No description,Discover,Clean,"Provision, integrate & Curate"
39,6,9,3,No description,Engineer,Evaluate,"Provision, integrate & Curate"
40,6,4,3,No description,Engineer,Contextualise,"Provision, integrate & Curate"
41,9,8,3,No description,Evaluate,Curate,"Provision, integrate & Curate"
42,9,12,3,No description,Evaluate,Use,"Provision, integrate & Curate"
43,10,8,4,No description,Discover,Curate,"Organize, store & maintain"
44,5,15,2,No description,Maintain,Preserve,"Organize, store & maintain"
45,5,13,2,No description,Maintain,Share,"Organize, store & maintain"
46,5,8,2,No description,Maintain,Curate,"Organize, store & maintain"
47,5,12,2,No description,Maintain,Use,"Organize, store & maintain"
48,15,8,5,No description,Preserve,Curate,Archive transfer & destroy
49,15,16,5,No description,Preserve,Dispose,Archive transfer & destroy
50,14,2,4,No description,Protect,Store,"Access, use & share"
51,7,2,3,No description,Analyse,Store,"Provision, integrate & Curate"
52,15,13,5,No description,Preserve,Share,Archive transfer & destroy
